,latitude,longitude,start_count,station,end_count
503,40.7489006,-73.97604882,5880.0,E 39 St & 3 Ave,5859
504,40.74901271,-73.98848395,10133.0,6 Ave & W 33 St,10210
505,40.749156,-73.9916,9481.0,W 31 St & 7 Ave,9360
506,40.74937024193277,-73.99923384189607,5478.0,9 Ave & W 28 St,5513
507,40.74964,-73.98805,5053.0,6 Ave & W 34 St,4978
508,40.74966,-73.9521,621.0,9 St & 44 Rd,627
509,40.749717753,-74.002950346,6497.0,W 26 St & 10 Ave,6669
510,40.75001986,-73.96905301,2801.0,1 Ave & E 44 St,2645
511,40.75019995,-73.99093085,7068.0,W 33 St & 7 Ave,6797
512,40.75022392,-73.97121414,3264.0,E 43 St & 2 Ave,3230
513,40.75038009,-73.98338988,4023.0,W 37 St & 5 Ave,3978
514,40.75052534,-73.94594845,508.0,21 St & 43 Ave,515
515,40.7505853470215,-73.9946848154068,13673.0,8 Ave & W 31 St,13733
516,40.75066386,-74.00176802,8630.0,10 Ave & W 28 St,8661
517,40.75097711,-73.98765428,3768.0,Broadway & W 36 St,3570
518,40.751047,-73.93796999999999,1365.0,28 St & 41 Ave,1342
519,40.75110165,-73.94073717,3214.0,Queens Plaza North & Crescent St,3182
520,40.751396,-74.00522600000001,9026.0,11 Ave & W 27 St,9012
521,40.751551,-73.993934,11204.0,8 Ave & W 33 St,11162
522,40.751581,-73.97791,7244.0,Pershing Square South,6451
523,40.75172632,-73.98753523,3262.0,Broadway & W 37 St,3157
524,40.75186951421875,-73.93349289894103,531.0,31 St & Northern Blvd,511
525,40.751872999999996,-73.97770600000001,16969.0,Pershing Square North,16745
526,40.7519071,-73.94791190000001,391.0,11 St & 43 Ave,404
527,40.75206862,-73.96784384,1805.0,E 47 St & 1 Ave,1830
528,40.752165280621966,-73.97992193698882,3865.0,E 41 St & Madison Ave,3860
529,40.752269,-73.982079,4947.0,W 40 St & 5 Ave,4911
530,40.75255434,-73.97282625,4067.0,E 45 St & 3 Ave,4065
531,40.752708500000004,-73.9397405,675.0,24 St & 41 Ave,672
532,40.752957,-74.00264,454.0,10 Hudson Yards,455
533,40.75299641,-73.98721619,4994.0,Broadway & W 38 St,4949
534,40.7531106,-73.9279917,567.0,37 Ave & 35 St,574
535,40.75323098,-73.97032517,4724.0,E 47 St & 2 Ave,4705
536,40.75325964,-73.94335788,1257.0,21 St & Queens Plaza North,1242
537,40.7535992020056,-73.9379560947418,301.0,40 Ave & Crescent St,305
538,40.754120810779256,-73.98025184869765,4430.0,E 43 St & 5 Ave,4252
539,40.75455731,-73.96592976,5101.0,E 51 St & 1 Ave,5092
